	cons	rand	q95	cat
OXSR1	0	0.0	0.0	None
PCDHB3	188	151.267	171.0	None
PDIA4	46	47.813	59.0	None
PHLDB2	82	52.487	64.0	None
SLC10A3	0	0.0	0.0	None
PDP2	14	28.169	37.0	None
PPT2	157	97.757	113.0	None
PPP1CA	0	0.0	0.0	None
RPL27A	335	169.419	190.0	None
RPL22	27	31.499	41.0	None
STX17	34	42.797	54.0	None
STX18	62	78.831	93.04999999999995	None
STIL	34	64.975	77.04999999999995	None
STAT6	105	110.563	127.0	None
MIP	9	17.45	24.0	None
MAGOH	0	0.0	0.0	None
MAPK4	25	31.535	41.0	None
SPATA18	140	134.034	152.0	None
MELK	48	52.217	64.0	None
MLPH	84	65.353	79.0	None
MED23	140	167.389	188.0	None
SLC16A4	371	182.944	202.0	None
MOB3A	361	282.254	306.04999999999995	None
MROH2B	45	48.111	59.0	None
MPP3	29	26.71	36.0	None
MSANTD2	89	101.388	118.0	None
RANGRF	0	0.0	0.0	None
MRGPRF	117	102.819	119.0	None
NLRP12	32	59.812	72.0	None
N4BP2	17	16.406	23.0	None
MYC	81	79.168	94.0	None
MYADM	66	42.772	53.0	None
SLC2A13	20	21.988	30.0	None
NPC1	81	50.219	61.0	None
NLRC4	95	73.58	87.0	None
RASAL2	0	0.0	0.0	None
NDFIP1	0	0.0	0.0	None
NIPA2	22	40.592	51.0	None
NEO1	228	170.23	191.0	None
TACR3	25	35.317	45.0	None
NOVA1	192	239.837	264.0	None
NECAB1	43	52.407	64.0	None
NELFB	34	49.458	61.0	None
ZCCHC17	0	0.0	0.0	None
CTSA	331	182.07	202.04999999999995	None
SLC11A1	193	128.321	146.0	None
NUBP1	36	18.623	26.0	None
OR2AG1	0	0.0	0.0	None
OR4K1	73	62.357	74.0	None
OTUD7B	37	24.189	32.0	None
OR5C1	109	168.742	189.0	None
PDE1A	46	63.26	76.0	None
PDE1C	0	0.0	0.0	None
PARVA	19	36.581	47.0	None
PADI2	46	62.304	75.0	None
PCDH1	548	362.864	390.04999999999995	None
PCDHB7	8	11.452	17.0	None
OVOL1	33	30.888	40.0	None
PDPK1	17	13.998	21.0	None
QRFP	31	24.915	33.0	None
HCRTR2	31	30.672	40.0	None
PAFAH2	31	32.267	42.0	None
PPAP2A	110	61.878	75.0	None
PLIN1	138	117.153	133.0	None
PPP1CB	47	52.421	64.0	None
PSMC2	254	160.052	179.0	None
PSMB11	36	76.414	91.0	None
TP53RK	50	26.299	35.0	None
PPM1L	237	212.409	234.0	None
PRDM5	230	185.767	207.0	None
PPM1D	25	32.039	41.0	None
PTPN21	9	21.113	29.0	None
PORCN	0	0.0	0.0	None
PTPDC1	55	88.188	104.0	None
BGN	194	140.544	159.0	None
PLS1	61	98.873	114.0	None
P2RY12	27	38.759	49.0	None
PLA2G2A	105	88.496	105.0	None
PKD1	0	0.0	0.0	None
PLOD2	69	60.152	72.04999999999995	None
PIN1	0	0.0	0.0	None
TMEM123	0	0.0	0.0	None
PROK2	281	182.006	202.0	None
NPEPPS	98	82.654	97.0	None
POLI	42	40.532	50.0	None
PPID	120	124.872	142.0	chap
PPM1B	105	76.991	91.0	None
PPIC	94	88.564	104.0	None
PTPN18	57	67.152	81.0	None
PTPMT1	0	0.0	0.0	None
ZADH2	101	77.271	91.0	None
PSME1	24	26.247	35.0	None
RBM25	74	71.434	85.0	None
RAB5B	17	7.07	11.0	None
RBM48	43	59.922	72.0	None
RBM47	78	74.213	88.0	None
RCOR1	67	60.496	73.0	None
RABEPK	180	119.153	136.04999999999995	None
RAC2	25	25.325	34.0	None
RASA1	0	0.0	0.0	None
RGS7BP	9	12.071	18.0	None
RILPL1	116	138.556	156.0	None
GPRC5A	66	43.199	53.049999999999955	None
REPIN1	155	128.088	145.0	None
RMND1	88	73.811	88.0	None
RNF122	78	76.133	89.04999999999995	None
ROCK2	40	31.748	41.0	None
RNF112	213	224.601	247.0	None
RNF126	0	0.0	0.0	ub
RNF151	56	92.004	107.0	None
RNF13	126	130.864	148.0	ub
RND3	59	26.848	35.0	None
ROR1	8	15.538	22.0	None
MRPL16	31	28.673	38.0	None
RREB1	50	62.839	76.0	None
NANOG	34	30.853	40.0	None
NAALADL1	93	82.033	97.0	None
NAGK	0	0.0	0.0	None
NCBP2	0	0.0	0.0	None
NAAA	158	84.389	99.0	None
MYL1	462	332.393	358.04999999999995	None
MYL10	0	0.0	0.0	None
MYO1C	47	62.042	74.0	None
NACAD	54	62.501	75.0	None
MYOCD	467	306.115	331.0	None
NKX6-2	89	93.791	109.0	None
PRSS12	337	255.994	280.0	None
NINJ2	20	5.548	10.0	None
PCSK2	27	33.756	44.0	None
NTSR1	0	0.0	0.0	None
NUBPL	84	84.244	99.0	None
NRCAM	35	39.804	50.0	None
PDPR	43	41.511	52.0	None
P2RX1	0	0.0	0.0	None
DDO	335	235.532	258.0	None
PIP5KL1	0	0.0	0.0	None
POT1	0	0.0	0.0	None
DHX38	442	341.999	368.04999999999995	None
PTBP3	110	146.279	165.0	None
PTPN5	168	154.974	174.0	None
PTPN4	137	123.88	140.0	None
RBM34	81	94.166	109.0	None
RABEP2	38	51.273	62.0	None
RBPJL	19	24.123	32.0	None
RBL2	0	0.0	0.0	None
HRAS	29	50.583	62.0	None
ERAS	36	49.206	61.0	None
RBM19	0	0.0	0.0	None
RAB20	0	0.0	0.0	None
RHOJ	41	57.782	69.0	None
RIN2	0	0.0	0.0	None
RGSL1	13	20.838	28.049999999999955	None
RHOBTB2	100	71.565	84.0	None
ARHGAP15	17	20.957	28.0	None
RGL1	231	128.951	147.0	None
REP15	22	31.658	41.0	None
RRM2	0	0.0	0.0	None
KLK2	0	0.0	0.0	None
KLF11	0	0.0	0.0	None
LETM1	254	210.24	232.0	None
LBX1	116	78.198	92.0	None
LAPTM4B	61	63.085	75.0	None
LGR4	217	171.789	190.04999999999995	None
LRRC23	0	0.0	0.0	None
LRRC38	0	0.0	0.0	None
LRRC42	0	0.0	0.0	None
LRFN3	0	0.0	0.0	None
LIF	138	121.677	139.0	None
LMNB1	134	127.9	144.0	None
MBD4	17	31.421	41.0	None
MGST2	71	51.992	63.0	None
OR4A47	0	0.0	0.0	None
OMA1	38	32.453	42.0	None
PARP4	0	0.0	0.0	None
PCBP3	195	129.861	148.0	None
PDCD2L	301	214.373	237.0	None
PCGF2	154	144.973	163.0	None
PCDHGB5	54	51.023	62.0	None
PKP3	35	53.966	66.0	None
POU6F2	16	18.724	26.0	None
PLCB2	0	0.0	0.0	None
PFN4	28	34.482	44.0	None
PPIF	0	0.0	0.0	None
PSMB5	127	106.136	122.0	None
PSD4	88	79.132	93.0	None
QSER1	128	112.161	128.0	None
PYROXD1	0	0.0	0.0	None
RAD17	10	10.492	16.0	None
SDR16C5	16	30.239	40.0	None
RIC3	29	23.771	32.0	chap
RAB18	0	0.0	0.0	None
RALB	95	103.169	119.0	None
RGS4	32	40.646	51.0	None
ARHGAP5	111	91.551	107.0	None
UPF2	0	0.0	0.0	None
LGI2	0	0.0	0.0	None
MLH3	0	0.0	0.0	None
APOO	60	59.483	71.04999999999995	None
MROH7	0	0.0	0.0	None
MROH5	40	57.309	69.0	None
MAP2K4	42	44.327	55.0	None
SLC25A3	48	70.376	84.0	None
MPEG1	75	78.833	93.0	None
MSH4	39	59.182	72.0	None
MRGPRX4	95	80.798	95.0	None
MMP8	450	249.286	272.0	None
MMP14	0	0.0	0.0	None
MRM1	480	289.893	314.0	None
OPN3	0	0.0	0.0	None
FAM114A1	43	42.975	54.0	None
ATIC	101	125.686	143.0	None
POU2AF1	348	252.967	275.0	None
OR14J1	183	197.62	219.0	None
OR8D1	0	0.0	0.0	None
OR1J1	0	0.0	0.0	None
ORAI3	54	45.283	56.049999999999955	None
PAPOLA	131	87.923	103.0	None
OR2Y1	24	26.507	35.0	None
PAXIP1	72	51.768	64.0	ub
PLA2G2D	0	0.0	0.0	None
PTGS1	93	74.428	88.0	None
PGRMC2	21	10.53	16.0	None
PPP1R14B	0	0.0	0.0	None
PPP1R10	0	0.0	0.0	None
PRSS48	74	79.744	94.0	None
PTPN9	45	34.891	45.0	None
PTPRJ	0	0.0	0.0	None
QRFPR	248	182.946	203.0	None
RFX1	145	117.576	135.0	None
RGL3	40	38.29	48.0	None
RPL21	106	101.649	117.0	None
RNF182	235	178.165	198.0	ub
RNASEH2C	148	120.313	138.0	None
RNASEL	10	21.006	29.0	None
RAPGEF4	0	0.0	0.0	None
MRPL41	11	27.479	36.0	None
RAPGEFL1	0	0.0	0.0	None
MRPL35	64	60.775	74.0	None
MRPL36	26	37.074	47.0	None
MSL1	86	56.686	68.0	None
TMEM35	126	118.306	135.0	None
NPB	35	37.526	47.0	None
NEXN	0	0.0	0.0	None
NDUFS4	0	0.0	0.0	None
NHS	146	123.397	141.0	None
NPTX2	190	170.902	191.0	None
FAM129B	23	33.056	42.0	None
NEK6	0	0.0	0.0	None
NELFA	0	0.0	0.0	None
OLFM2	104	81.925	97.0	None
NOD2	45	58.801	71.0	None
NSD1	16	17.972	26.0	None
NR1D2	320	290.823	317.0	None
NR2C2	412	263.05	286.0	None
NR1H2	0	0.0	0.0	None
NRDE2	196	174.607	196.04999999999995	None
NUP88	92	105.736	120.0	None
TMEM8A	61	97.892	114.0	None
P2RY6	115	88.054	103.0	None
PRPF39	119	97.844	112.0	None
RASAL1	0	0.0	0.0	None
RBM15	38	44.603	55.0	None
RAI1	0	0.0	0.0	None
RIF1	64	35.363	45.0	None
RESP18	0	0.0	0.0	None
RERGL	7	16.934	24.0	None
RFC1	112	79.459	93.0	None
RHBDD1	12	13.103	19.0	None
ARHGAP12	33	41.808	53.0	None
RPL31	0	0.0	0.0	None
HIST1H2BJ	27	26.825	35.0	None
GRIA1	228	158.101	176.0	None
GSTP1	172	140.978	159.0	None
HIPK3	37	55.236	68.0	None
HPS4	74	70.519	84.04999999999995	None
HOMER2	53	43.453	54.0	None
HSPA1L	32	33.335	43.0	chap
HMGB2	28	29.682	40.0	None
SERPINB1	49	60.639	73.0	None
MTIF3	55	31.434	41.0	None
IL24	0	0.0	0.0	None
JAKMIP1	209	199.405	221.0	None
KRT82	57	81.082	95.04999999999995	None
CAMK2D	18	18.449	25.0	None
PRKCD	10	9.272	14.049999999999955	None
KCNJ13	265	153.538	173.0	None
MIER3	78	84.262	99.0	None
MPZL2	0	0.0	0.0	None
SLC16A14	25	24.352	32.0	None
MOB3C	36	37.788	48.0	None
MPHOSPH9	12	27.762	36.0	None
MSH2	157	172.147	192.0	None
MORC3	0	0.0	0.0	None
MTRR	0	0.0	0.0	None
MTX1	31	44.743	56.0	None
NYAP1	135	119.775	137.0	None
OSGIN1	42	42.501	53.0	None
OR13C8	37	55.542	67.0	None
NOXRED1	0	0.0	0.0	None
OR4N5	49	76.446	90.04999999999995	None
OR5I1	0	0.0	0.0	None
OR4F6	102	84.098	99.0	None
OR4K2	75	87.613	102.0	None
OR6N2	157	73.103	86.0	None
ORC1	287	226.248	249.0	None
PAPSS2	65	79.793	94.0	None
PDGFD	155	160.175	179.0	None
PANK1	50	51.553	63.0	None
PCDH10	325	206.631	228.0	None
PTGDR	433	240.498	264.04999999999995	None
PCBP2	200	156.577	175.0	None
PCDHB10	11	26.68	35.049999999999955	None
PDIA2	69	50.696	62.0	None
PABPC1	131	111.78	128.0	None
PCDH11X	91	74.863	89.0	None
PEX5	23	24.468	33.0	None
PPP1R3G	60	46.312	57.0	None
PROX1	198	139.913	158.0	None
RPL7A	153	124.865	142.04999999999995	None
STX16	183	153.878	172.0	None
KLK11	52	61.993	74.0	None
LEP	0	0.0	0.0	None
LHCGR	131	181.831	201.04999999999995	None
LRRC15	59	32.532	42.0	None
PEX10	0	0.0	0.0	ub
PREPL	36	22.948	30.049999999999955	None
PRRX1	167	152.652	172.0	None
RABAC1	518	324.959	351.04999999999995	None
PPP6C	447	261.096	285.0	None
PTPN6	22	14.389	20.0	None
PSEN1	0	0.0	0.0	None
PTPRB	126	159.605	180.0	None
PTPRE	171	180.344	202.04999999999995	None
RBX1	318	231.584	254.04999999999995	ub
RAB6B	30	40.88	51.0	None
CRABP1	155	93.375	109.04999999999995	None
RAB3GAP1	78	94.128	109.04999999999995	None
RASEF	31	47.248	58.049999999999955	None
RBM12	0	0.0	0.0	None
RANGAP1	29	17.156	24.0	None
RIMBP2	121	94.053	109.0	None
ADARB2	0	0.0	0.0	None
ARHGAP4	44	45.066	56.0	None
TRIM21	18	7.058	12.0	ub
RNPS1	35	56.506	69.0	None
RNF121	164	164.218	183.0	None
RNF14	80	92.141	107.0	ub
RNF32	97	96.927	112.0	None
RNF167	25	39.363	50.0	ub
OXGR1	0	0.0	0.0	None
PRPF31	73	45.267	56.0	None
RBM22	89	100.588	116.0	None
LMO1	32	46.972	58.0	None
RBM43	0	0.0	0.0	None
RAB37	191	117.12	133.0	None
RAB3B	72	67.965	80.0	None
RNF2	11	11.418	17.0	ub
RASGEF1C	93	69.148	82.0	None
MTRF1	37	50.342	62.0	None
ROBO3	0	0.0	0.0	None
RORC	30	32.44	41.0	None
MRPL38	73	57.067	69.0	None
POLR2C	46	64.535	77.0	None
RRAGB	0	0.0	0.0	None
MRPL48	184	143.482	163.0	None
POLR3F	62	104.697	120.0	None
RRS1	127	85.967	100.0	None
USP26	313	246.656	270.0	None
TMEFF2	16	18.896	26.0	None
THRB	83	84.063	98.0	None
THNSL2	142	92.356	108.0	None
GTF3C1	66	75.495	89.0	None
TRHDE	51	50.047	62.0	None
TMIGD1	32	46.666	58.0	None
TEPP	0	0.0	0.0	None
TMPRSS5	154	110.594	126.04999999999995	None
TMCO3	0	0.0	0.0	None
PTP4A3	0	0.0	0.0	None
TM6SF1	49	73.398	87.0	None
TMC1	41	39.347	49.0	None
TMEM156	0	0.0	0.0	None
TRMT10C	231	160.941	180.0	None
TRPM8	34	37.815	48.0	None
TSHB	193	161.308	182.0	None
TSC2	0	0.0	0.0	None
UNC5A	26	21.584	29.0	None
UBR7	156	133.234	151.0	None
SLC25A27	16	23.529	31.0	None
UBE2A	0	0.0	0.0	None
UBXN11	54	38.116	48.0	None
USP47	74	61.632	75.0	None
STARD13	0	0.0	0.0	None
SRCIN1	19	24.039	32.0	None
STAM	46	28.034	37.0	None
SUV39H1	188	97.48	112.0	None
SVIL	0	0.0	0.0	None
STK16	49	34.203	44.0	None
STK35	0	0.0	0.0	None
SRP72	36	48.435	60.0	None
SOWAHA	0	0.0	0.0	None
SWSAP1	95	61.101	74.0	None
NR5A1	0	0.0	0.0	None
SURF6	104	103.491	119.0	None
SPR	0	0.0	0.0	None
STOML2	19	22.208	31.0	None
SPATA25	264	234.377	257.04999999999995	None
SRSF10	31	36.083	46.0	None
SPATA19	397	298.203	324.0	None
TTC39B	0	0.0	0.0	None
DARS	188	179.638	199.0	None
TAB1	54	31.289	41.0	None
TMEM161A	84	86.188	101.0	None
TAS2R13	62	61.053	74.0	None
TBC1D17	0	0.0	0.0	None
TBC1D14	44	57.812	70.0	None
TDRD6	184	141.464	159.0	None
TFAM	250	142.501	161.0	None
TESK2	77	81.87	95.0	None
ITFG1	45	55.646	68.0	None
TRHR	83	83.487	98.0	None
TOP1	48	56.142	68.0	None
TMOD2	0	0.0	0.0	None
TSHZ1	5	6.638	11.0	None
USP18	7	9.588	14.0	None
UPP2	16	38.307	48.0	None
UGT2A1	49	50.416	62.0	None
UBAC2	12	26.387	35.0	None
UBASH3A	26	28.069	37.0	None
UBE2B	521	285.92	311.0	None
USP29	37	53.289	65.0	None
USP2	49	62.672	76.0	None
USP53	0	0.0	0.0	None
VAMP3	0	0.0	0.0	None
FAM20B	0	0.0	0.0	None
VSTM5	23	28.945	38.0	None
WRN	20	14.503	21.0	None
WNT9B	0	0.0	0.0	None
WNT9A	216	158.866	179.0	None
ATP6V0A4	0	0.0	0.0	None
WDR7	85	78.242	92.04999999999995	None
VPS16	176	145.41	164.0	None
VPS51	95	52.07	64.0	None
VPS39	74	41.552	52.0	None
WFDC10A	94	100.67	116.0	None
RPL34	165	141.342	159.0	None
RPL7L1	180	116.916	135.0	None
ROBO4	119	117.927	134.0	None
ROCK1	0	0.0	0.0	None
RNF223	97	74.23	88.0	None
CAST	10	14.718	21.0	None
ROR2	54	58.568	71.0	None
SHISA5	29	41.943	53.0	None
SIRT3	64	71.15	84.04999999999995	None
SULT2A1	45	44.739	56.0	None
SPP2	84	100.622	115.0	None
SEPHS1	60	68.191	81.0	None
SERTAD3	94	77.701	92.0	None
SRSF2	0	0.0	0.0	None
SUMF1	0	0.0	0.0	None
SUMO1	21	28.697	37.0	None
TTC3	347	230.448	253.0	ub
SRSF9	13	18.367	26.0	None
SUPT3H	27	25.253	34.0	None
TRPA1	156	119.2	136.0	None
UFL1	211	253.236	277.0	None
CDC34	240	267.301	291.0	ub
UBE2G2	215	192.601	214.0	None
UBE2E2	14	14.738	21.0	None
USP25	39	51.869	63.049999999999955	None
UBALD2	0	0.0	0.0	None
USP43	141	128.25	146.0	None
USP37	161	147.852	167.0	None
UBD	65	80.189	94.0	None
ATP6V1C2	14	38.956	49.0	None
SLC32A1	192	146.969	165.0	None
VASH2	63	69.73	82.0	None
YBX1	10	21.163	29.0	None
YIPF6	59	54.338	67.0	None
ZC3H18	27	37.412	48.0	None
ZDHHC13	21	18.13	25.0	None
ZBTB22	0	0.0	0.0	None
ZNF3	17	19.014	26.0	None
ZDHHC17	359	276.294	300.0	None
ZNF385C	60	45.221	56.0	None
ZNF804B	27	37.941	48.0	None
ZBTB8B	0	0.0	0.0	None
SYT15	24	50.116	62.0	None
TMEM150C	114	115.263	133.0	None
TAS2R41	210	145.212	164.04999999999995	None
TASP1	15	23.078	31.0	None
TBC1D24	240	192.427	213.0	None
TGFBRAP1	41	36.719	47.0	None
TGM7	101	51.312	63.0	None
DNAJC19	43	17.276	24.0	chap
TFRC	116	139.989	158.0	None
TSPAN9	0	0.0	0.0	None
TTC1	365	237.641	261.0	chap
UBIAD1	14	11.696	18.0	None
ATP6V1E2	48	57.588	71.0	None
VSX1	46	54.825	67.0	None
VAMP8	97	80.157	94.0	None
VPS37C	29	48.099	59.0	None
WDSUB1	19	19.361	27.0	None
WNT7A	0	0.0	0.0	None
VPREB1	8	11.352	17.0	None
XPA	234	109.524	125.0	None
XPO6	72	82.114	97.0	None
WNT16	280	154.111	172.0	None
WDFY2	48	40.288	51.0	None
WDR1	0	0.0	0.0	None
YES1	145	107.539	124.0	None
PHKG1	205	183.672	203.0	None
PHYHIP	60	63.315	76.0	None
PTGER3	225	145.78	166.0	None
PICK1	126	154.467	174.04999999999995	None
PLIN2	452	307.334	333.0	None
PLK2	116	104.428	120.0	None
PRR13	0	0.0	0.0	None
SPAG5	64	84.775	99.0	None
SNX10	464	293.761	317.0	None
SPOCK3	391	251.555	274.0	None
SIGLEC9	88	123.719	141.0	None
SIAH1	87	79.442	93.0	ub
SLTM	503	314.709	341.0	None
IBSP	81	86.377	101.0	None
SOCS2	0	0.0	0.0	ub
SGK3	0	0.0	0.0	None
SIM2	33	28.305	37.0	None
SLAMF8	37	51.284	63.0	None
SOCS6	114	151.949	172.0	None
SREK1	56	61.158	74.0	None
SRF	0	0.0	0.0	None
SVOPL	80	76.956	91.0	None
STC1	21	10.685	16.0	None
CCDC23	0	0.0	0.0	None
SUZ12	53	64.05	76.0	None
STC2	23	29.298	38.0	None
SRSF1	82	67.487	81.0	None
VCP	139	122.133	138.0	None
TSTD1	279	170.465	190.0	None
TRMT12	380	267.71	291.0	None
UBE2D3	35	42.612	54.0	None
UCP3	0	0.0	0.0	None
USP5	0	0.0	0.0	None
TXNDC17	94	104.33	121.0	None
CD96	175	132.575	150.0	None
TMEM200B	50	58.442	71.0	None
TMEM126A	0	0.0	0.0	None
TMEM132D	128	158.169	177.0	None
TAPT1	301	154.797	174.0	None
TBC1D30	49	68.585	82.0	None
TAOK3	25	22.355	31.0	None
TGFB1I1	56	75.08	88.0	None
THRA	0	0.0	0.0	None
THTPA	64	68.958	81.0	None
DNTT	0	0.0	0.0	None
TINF2	0	0.0	0.0	None
TBX1	79	65.289	78.0	None
TMEM71	30	33.147	43.0	None
TIFA	0	0.0	0.0	None
TMEM89	0	0.0	0.0	None
U2AF2	99	93.91	109.0	None
VAV3	62	87.071	102.0	None
AVPR1A	95	76.234	90.0	None
YIF1B	518	285.044	310.0	None
ZNF12	9	4.604	8.0	None
ZAR1L	16	11.448	17.0	None
ZCCHC24	304	183.145	203.0	None
ZNF286A	12	12.612	19.0	None
SSSCA1	0	0.0	0.0	None
ZNF512B	75	39.681	50.0	None
ZBTB42	75	81.999	96.0	None
ZEB1	0	0.0	0.0	None
ZNF608	0	0.0	0.0	None
ZNF646	50	60.475	73.0	None
ZNF174	142	101.178	117.0	None
ZFAND6	27	26.376	35.0	None
ZFX	0	0.0	0.0	None
ZNF250	49	32.945	42.0	None
ZFYVE16	14	16.676	24.0	None
ZGLP1	73	42.771	53.0	None
ZRANB2	0	0.0	0.0	None
LARS2	64	54.221	66.0	None
THEMIS	354	290.335	314.0	None
THOC6	0	0.0	0.0	None
TMEM68	172	79.815	94.0	None
TMEM9B	71	32.571	42.0	None
TMEM59	44	37.342	48.0	None
TNK1	0	0.0	0.0	None
LTBR	308	163.541	184.0	None
TRAF4	298	150.805	170.0	ub
TRAM2	50	35.94	46.0	None
TNFRSF21	0	0.0	0.0	None
MID2	99	116.4	133.0	None
TLE6	7	11.767	18.0	None
TMEM117	293	238.042	262.0	None
TMEM240	107	121.471	137.0	None
TMPRSS11E	147	112.762	129.0	None
TLK2	6	5.884	10.0	None
TMEM215	54	48.286	59.0	None
TRPV1	0	0.0	0.0	None
UPK3A	139	134.496	152.0	None
UBA7	3	4.018	8.0	None
FYTTD1	0	0.0	0.0	None
VSNL1	40	46.683	58.0	None
UTRN	0	0.0	0.0	None
WBP2NL	213	168.35	188.0	None
YME1L1	70	76.909	90.0	None
ZNF92	23	24.579	32.0	None
ZNF45	0	0.0	0.0	None
ZNF142	119	103.461	119.0	None
ZKSCAN7	116	119.341	136.0	None
ZER1	0	0.0	0.0	None
ZNF219	0	0.0	0.0	None
ZFHX2	361	243.557	266.0	None
ZFP42	130	142.449	160.0	None
ZGPAT	61	55.369	67.0	None
UHRF2	0	0.0	0.0	ub
SLC17A8	71	71.326	85.0	None
UTP14A	377	243.685	268.0	None
XDH	38	61.909	75.0	None
GC	0	0.0	0.0	None
WIPF3	13	19.842	27.0	None
WWP1	195	132.425	150.0	ub
VPREB3	147	140.018	158.0	None
WDR74	58	58.205	71.0	None
WDR13	0	0.0	0.0	None
WFDC9	74	86.139	101.0	None
WFS1	0	0.0	0.0	None
WFDC13	245	146.846	165.0	None
WDR31	0	0.0	0.0	None
ZBTB10	0	0.0	0.0	None
ZBTB45	52	40.463	51.049999999999955	None
ZBTB17	133	110.602	126.0	None
ZMYND11	273	222.866	247.0	None
YTHDF1	447	298.708	325.0	None
ZNF451	29	13.499	19.0	None
ZNF274	0	0.0	0.0	None
ZFAND2B	76	46.856	58.0	None
ZNF326	30	40.602	51.0	None
ZNF786	24	34.506	45.0	None
ZFYVE9	0	0.0	0.0	None
TGS1	0	0.0	0.0	None
TNFRSF13C	0	0.0	0.0	None
TRPC4AP	47	34.02	43.0	ub
TRMT1L	157	131.812	149.04999999999995	None
TMEM109	110	141.353	161.0	None
EDA2R	0	0.0	0.0	None
TM7SF3	25	26.091	34.049999999999955	None
TLE2	99	91.9	108.0	None
TLR6	14	12.503	18.0	None
TSPYL2	29	35.952	46.0	None
TUSC1	89	80.378	95.0	None
TRANK1	0	0.0	0.0	None
EFTUD2	190	140.742	159.0	None
UNKL	0	0.0	0.0	None
UPK2	107	53.697	65.0	None
VIP	26	33.29	43.0	None
VAMP2	39	62.549	76.0	None
VSX2	70	90.566	105.0	None
WWC2	0	0.0	0.0	None
XAF1	62	48.981	59.049999999999955	None
TAOK2	9	14.305	21.0	None
TMEM178B	36	41.187	52.0	None
TBC1D19	0	0.0	0.0	None
TGFBR1	0	0.0	0.0	None
TAPBPL	54	37.064	47.0	None
UBE2V2	103	103.552	119.0	None
ULK1	19	32.328	42.0	None
TDP2	59	45.762	57.0	None
VANGL2	40	49.734	61.0	None
VSIG10	112	110.411	126.04999999999995	None
VRK2	92	82.408	96.0	None
WDR5	0	0.0	0.0	None
YIF1A	134	131.672	149.04999999999995	None
SERPINA10	50	26.0	34.0	None
MTNR1A	152	104.922	121.04999999999995	None
MTMR4	9	15.282	22.0	None
MUL1	0	0.0	0.0	ub
NAV1	305	198.483	221.0	None
MYF5	0	0.0	0.0	None
NICN1	47	84.228	98.0	None
NKX2-4	277	225.378	249.0	None
NKX3-2	0	0.0	0.0	None
NPDC1	201	162.804	182.0	None
NLRC5	101	80.694	96.0	None
NEU4	38	37.517	48.0	None
NDUFAF7	19	19.7	27.0	None
NKAIN2	47	56.158	69.0	None
NELL1	21	20.704	29.0	None
NFX1	78	79.718	94.0	None
NFIA	0	0.0	0.0	None
NOB1	56	56.629	69.0	None
NPRL2	137	100.24	117.0	None
METTL11B	27	33.597	43.0	None
NUP214	90	72.787	86.0	None
LAT2	0	0.0	0.0	None
PRR5	201	164.103	184.0	None
NRXN1	50	87.785	103.0	None
NRD1	0	0.0	0.0	None
OR2AP1	77	70.414	84.0	None
OR52A5	0	0.0	0.0	None
OSBPL5	10	10.364	16.0	None
PEG3	13	23.565	31.0	None
PKP2	83	93.335	108.0	None
PREP	413	301.721	327.0	None
PRLH	0	0.0	0.0	None
TCTN2	220	149.56	168.0	None
TECRL	224	213.343	234.0	None
THSD1	95	72.63	86.0	None
THAP1	84	63.533	77.0	None
TCF20	9	12.281	18.0	None
TCL1B	208	172.528	192.0	None
TBX5	165	134.349	152.0	None
TOP1MT	13	19.137	27.0	None
TCP1	477	313.585	340.0	chap
TRMT112	28	32.339	41.0	None
TMEM81	12	8.237	13.0	None
TTC22	0	0.0	0.0	None
TAX1BP3	93	80.506	94.0	None
TWIST2	0	0.0	0.0	None
VGF	76	66.405	80.0	None
TSPAN12	254	222.961	245.0	None
UNC93B1	77	77.392	91.0	None
UBE2R2	0	0.0	0.0	None
NME8	0	0.0	0.0	None
UBE3B	0	0.0	0.0	None
UBXN2B	0	0.0	0.0	None
VIT	0	0.0	0.0	None
ATP6V0D2	194	120.415	138.0	None
WSCD2	0	0.0	0.0	None
WNT8B	0	0.0	0.0	None
XPO4	0	0.0	0.0	None
RS1	70	87.819	102.0	None
WNK2	10	14.238	21.0	None
WDR25	43	22.183	30.0	None
WDR18	230	182.91	204.04999999999995	None
VWA5A	225	144.528	164.0	None
SLC18A1	39	67.228	80.0	None
YKT6	27	24.766	33.0	None
ZFP82	75	43.704	54.0	None
ZSWIM3	0	0.0	0.0	None
SYCP1	348	272.647	298.0	None
TBX15	79	95.976	112.0	None
TCF7	39	27.204	36.0	None
GTF2A1	50	35.534	46.0	None
TCHP	112	92.134	107.0	None
TNS4	0	0.0	0.0	None
ZFP36L2	103	102.147	118.0	None
TMF1	267	183.036	204.0	None
TRIM24	0	0.0	0.0	ub
TOPBP1	25	17.123	24.0	None
TRH	326	227.108	251.0	None
TMCC2	133	131.003	149.0	None
TNFRSF19	177	153.501	173.0	None
TOB2	0	0.0	0.0	None
TPMT	0	0.0	0.0	None
TRAM1	144	128.264	145.0	None
TMEM192	244	162.348	182.0	None
TMEM232	62	46.356	57.0	None
TOX	461	290.506	315.0	None
TMEM207	0	0.0	0.0	None
TNFAIP2	47	47.971	59.049999999999955	None
TLL2	73	112.853	129.0	None
TMA16	21	23.949	32.0	None
TMEM182	0	0.0	0.0	None
TRPC4	0	0.0	0.0	None
TPSG1	0	0.0	0.0	None
TSGA13	0	0.0	0.0	None
UBE2U	63	51.445	62.0	None
VGLL1	0	0.0	0.0	None
