human	macaque	mouse
KLHL1	KLHL1	Klhl1
ECE2	None	None
FAM160B1	FAM160B1	Fam160b1
STAT1	STAT1	Stat1
SLC7A14	SLC7A14	Slc7a14
TMC1	TMC1	Tmc1
YME1L1	YME1L1	Yme1l1
SEMA3G	SEMA3G	Sema3g
CCDC87	CCDC87	Ccdc87
MID2	MID2	Mid2
KSR1	None	Ksr1
CHUK	CHUK	Chuk
RGL1	RGL1	Rgl1
PLEKHM3	PLEKHM3	Plekhm3
TLK2	TLK2	Tlk2
EPS8	EPS8	Eps8
GPAM	GPAM	Gpam
TRPV6	TRPV6	Trpv6
ADGRD2	None	None
ECE1	ECE1	Ece1
DPP4	DPP4	Dpp4
MAP7D3	MAP7D3	Mtap7d3
SLC9A4	SLC9A4	Slc9a4
SUPT20H	SUPT20H	None
IWS1	IWS1	Iws1
ITGB3	ITGB3	Itgb3
ZC3HAV1	ZC3HAV1	Zc3hav1
HECTD2	HECTD2	Hectd2
FIGN	FIGN	Fign
CMTR2	None	Cmtr2
CHPF	CHPF	Chpf
ADGRD1	None	Gpr133
PATL1	PATL1	Patl1
FAM83G	FAM83G	Fam83g
RBSN	ZFYVE20	Rbsn
COMP	COMP	Comp
TTC14	TTC14	Ttc14
FSTL4	FSTL4	Fstl4
ESF1	ESF1	Esf1
CPEB4	CPEB4	Cpeb4
COG7	COG7	Cog7
CDH8	CDH8	Cdh8
GSAP	None	Gsap
CDH17	CDH17	Cdh17
NUGGC	NUGGC	Nuggc
PPIG	PPIG	Ppig
MKLN1	MKLN1	Mkln1
POTEI	None	None
ADAM9	ADAM9	Adam9
TARSL2	None	Tarsl2
SV2A	SV2A	Sv2a
SLC9A2	SLC9A2	Slc9a2
PRKCE	PRKCE	Prkce
TLR5	TLR5	Tlr5
PAPOLA	PAPOLA	Papola
SUZ12	SUZ12	Suz12
CNOT10	CNOT10	Cnot10
MTMR10	MTMR10	Mtmr10
SUPV3L1	SUPV3L1	Supv3l1
ARHGEF6	ARHGEF6	Arhgef6
CTCF	CTCF	Ctcf
RPS6KA4	RPS6KA4	Rps6ka4
IQCA1	IQCA1	Iqca
KIF3B	KIF3B	Kif3b
LONRF1	LONRF1	Lonrf1
CEP95	CEP95	Cep95
PKD2L1	PKD2L1	Pkd2l1
TTC16	TTC16	Ttc16
DDX21	DDX21	Ddx21
MTSS1	MTSS1	Mtss1
RIPK4	RIPK4	Ripk4
RPS6KA3	RPS6KA3	Rps6ka3
ZNF438	ZNF438	Zfp438
LRCH2	LRCH2	Lrch2
CCNF	CCNF	Ccnf
ACE2	ACE2	Ace2
RXFP1	RXFP1	Rxfp1
DDX1	DDX1	Ddx1
EVI5L	None	Evi5l
ITIH4	ITIH4	Itih4
NOM1	NOM1	Nom1
MME	MME	Mme
C1orf167	None	None
SCARF1	SCARF1	Scarf1
ZC3H14	ZC3H14	Zc3h14
FGD4	FGD4	Fgd4
MARK4	MARK4	Mark4
ABCB9	ABCB9	Abcb9
ARHGEF19	ARHGEF19	Arhgef19
ZYG11B	ZYG11B	Zyg11b
ZBTB20	ZBTB20	Zbtb20
MLH1	MLH1	Mlh1
LENG8	LENG8	Leng8
SEMA4F	SEMA4F	Sema4f
NAA35	NAA35	Naa35
None	None	None
AMOTL2	AMOTL2	Amotl2
TLR6	TLR6	Tlr6
FCRL5	FCRL5	None
USP1	USP1	Usp1
PHEX	PHEX	Phex
SH3D19	SH3D19	Sh3d19
PDZD4	PDZD4	Pdzd4
PCDHB1	PCDHB1	Pcdhb1
TAX1BP1	TAX1BP1	Tax1bp1
PDE4B	PDE4B	Pde4b
ZNF33B	ZNF33B	None
CLCA4	CLCA4	Clca4b
TTLL13P	None	Ttll13
KIF18B	KIF18B	Kif18b
CENPC	None	Cenpc1
PGBD1	PGBD1	None
MTF1	MTF1	Mtf1
TBC1D16	TBC1D16	Tbc1d16
MMEL1	MMEL1	Mmel1
MTMR12	MTMR12	Mtmr12
TXNDC16	TXNDC16	Txndc16
KIF6	KIF6	Kif6
KIRREL	None	Kirrel
DCLK2	DCLK2	Dclk2
AOC2	AOC2	Aoc2
MYBL1	MYBL1	Mybl1
JUP	JUP	Jup
LOXL4	LOXL4	Loxl4
CRNKL1	CRNKL1	Crnkl1
PLA2G4A	PLA2G4A	Pla2g4a
HNRNPM	HNRNPM	Hnrnpm
TTLL11	TTLL11	Ttll11
DDX50	DDX50	Ddx50
PNPT1	PNPT1	Pnpt1
DDX27	DDX27	Ddx27
TLR4	TLR4	Tlr4
TAS1R1	TAS1R1	Tas1r1
CCSER2	CCSER2	Ccser2
CDH24	CDH24	Cdh24
ZNF107	ZNF107	None
EXOC3	EXOC3	Exoc3
SLC26A4	SLC26A4	Slc26a4
PCDHB3	PCDHB3	Pcdhb3
GPHN	GPHN	Gphn
KRIT1	KRIT1	Krit1
GCC1	GCC1	Gcc1
RSPH10B	None	None
PPP1R3F	PPP1R3F	Ppp1r3f
ARMC9	ARMC9	Armc9
SATB2	SATB2	Satb2
RGL2	RGL2	Rgl2
ATRIP	ATRIP	Atrip
TRIM2	None	Trim2
PWWP2A	PWWP2A	Pwwp2a
GYS1	None	Gys1
BRAT1	BRAT1	Brat1
None	None	None
ZBTB47	ZBTB47	Zfp651
PLA2G4F	PLA2G4F	Pla2g4f
PCSK1	PCSK1	Pcsk1
PPM1E	None	Ppm1e
CSF2RB	CSF2RB	Csf2rb
APBB2	APBB2	Apbb2
DCST2	DCST2	Dcst2
HCN3	HCN3	Hcn3
NSF	NSF	Nsf
RASA4	None	Rasa4
HSP90AA1	None	Hsp90aa1
ELMO1	ELMO1	Elmo1
PLCD1	PLCD1	Plcd1
ZNF366	ZNF366	Zfp366
RNF43	RNF43	Rnf43
DENND1B	DENND1B	Dennd1b
NSUN2	NSUN2	Nsun2
TRIM3	TRIM3	Trim3
ZBTB49	ZBTB49	Zbtb49
SIX4	SIX4	Six4
KCNN3	KCNN3	Kcnn3
ALDH16A1	ALDH16A1	Aldh16a1
WDR91	WDR91	Wdr91
TRIL	TRIL	Tril
PLG	None	Plg
IL17RD	IL17RD	Il17rd
PIDD1	None	Pidd1
STIM2	STIM2	Stim2
ACO2	ACO2	Aco2
CCDC15	CCDC15	Ccdc15
ZNF41	ZNF41	None
ARHGEF26	ARHGEF26	Arhgef26
OSBPL10	OSBPL10	Osbpl10
TTF1	TTF1	None
DDX17	DDX17	Ddx17
TBX3	TBX3	Tbx3
None	None	None
DACH1	DACH1	Dach1
ACAP2	ACAP2	Acap2
CPXM2	CPXM2	Cpxm2
RANBP9	RANBP9	Ranbp9
PKP1	PKP1	Pkp1
CNGB3	CNGB3	Cngb3
PSD2	PSD2	Psd2
PNPLA8	PNPLA8	Pnpla8
TSC22D2	TSC22D2	Tsc22d2
POU2F1	POU2F1	Pou2f1
COL8A1	COL8A1	Col8a1
CEP85	CEP85	Cep85
HGF	HGF	Hgf
CACTIN	CACTIN	Cactin
ELAC2	ELAC2	Elac2
MUT	None	Mut
DNER	DNER	Dner
AKAP1	AKAP1	Akap1
PFKP	PFKP	Pfkp
CSTF3	CSTF3	Cstf3
LONRF3	LONRF3	Lonrf3
USP45	USP45	Usp45
PHTF1	PHTF1	Phtf1
DNM1L	DNM1L	Dnm1l
DAB2	DAB2	Dab2
IMMT	IMMT	Immt
ADD2	ADD2	Add2
RHOBTB2	RHOBTB2	Rhobtb2
PLEKHA4	PLEKHA4	Plekha4
ASAH2	ASAH2	Asah2
WHAMM	WHAMM	Whamm
AP4B1	AP4B1	Ap4b1
CCDC57	CCDC57	Ccdc57
AP1G2	AP1G2	Ap1g2
TSHR	TSHR	Tshr
TAS1R2	None	Tas1r2
ZRANB1	ZRANB1	Zranb1
FGFR3	FGFR3	Fgfr3
CDH19	CDH19	Cdh19
ARNT2	ARNT2	Arnt2
QARS	None	Qars
STRN4	STRN4	Strn4
SLC45A1	SLC45A1	Slc45a1
TRIM9	TRIM9	Trim9
DTNA	DTNA	Dtna
MCM5	MCM5	Mcm5
ADGRE5	None	Cd97
ZXDB	ZXDB	Zxdb
TAB3	TAB3	Tab3
APBA2	APBA2	Apba2
FCHO2	FCHO2	Fcho2
PLCD4	PLCD4	Plcd4
DVL3	DVL3	Dvl3
ADAM33	ADAM33	Adam33
COLEC12	COLEC12	Colec12
IQCA1L	None	None
LDLR	LDLR	Ldlr
HSP90AB1	SLC29A1	Hsp90ab1
PCDHB2	PCDHB2	Pcdhb2
OSBPL9	OSBPL9	Osbpl9
SV2C	SV2C	Sv2c
MAMLD1	MAMLD1	Mamld1
KLHL11	KLHL11	Klhl11
TTLL3	ARPC4	Ttll3
ELMO2	ELMO2	Elmo2
IL17RC	IL17RC	Il17rc
SIK1	SIK1	Sik1
PHTF2	PHTF2	Phtf2
FCHSD2	FCHSD2	Fchsd2
IQUB	IQUB	Iqub
DIEXF	DIEXF	Diexf
TBK1	TBK1	Tbk1
EIF3B	EIF3B	Eif3b
FOXP2	FOXP2	Foxp2
LRCH3	LRCH3	Lrch3
GNE	GNE	Gne
SLC26A5	SLC26A5	Slc26a5
PTPRH	PTPRH	Ptprh
PTPN22	PTPN22	Ptpn22
KHSRP	KHSRP	Khsrp
CCDC178	CCDC178	Ccdc178
SLC6A17	SLC6A17	Slc6a17
HHIPL1	HHIPL1	Hhipl1
NDUFS1	NDUFS1	Ndufs1
CAPRIN1	CAPRIN1	Caprin1
DLL1	DLL1	Dll1
MAPK6	MAPK6	Mapk6
PREPL	PREPL	Prepl
ANKEF1	ANKEF1	Ankef1
ASCC2	ASCC2	Ascc2
STT3A	STT3A	Stt3a
CCDC110	CCDC110	Ccdc110
GAS2L2	GAS2L2	Gas2l2
TLR1	TLR1	Tlr1
TLR2	None	Tlr2
FGA	FGA	Fga
TCEB3	RPL11	Tceb3
GGCX	GGCX	Ggcx
AMPD1	AMPD1	Ampd1
NCDN	NCDN	Ncdn
XRCC5	XRCC5	Xrcc5
ZNF425	ZNF425	None
DLG4	DLG4	Dlg4
IMPG1	IMPG1	Impg1
PRKCQ	PRKCQ	Prkcq
EXOC8	EXOC8	Exoc8
AFAP1L1	AFAP1L1	Afap1l1
TTLL6	TTLL6	Ttll6
FBXW7	FBXW7	Fbxw7
THNSL1	THNSL1	Thnsl1
CD248	CD248	Cd248
MAATS1	None	Maats1
GIT1	GIT1	Git1
NAALADL2	NAALADL2	Naaladl2
EXD3	EXD3	None
SPIDR	None	Spidr
ADAM11	ADAM11	Adam11
EFHB	EFHB	Efhb
ZNF267	ZNF267	None
SUSD2	SUSD2	Susd2
GPR156	GPR156	Gpr156
RAD54L	RAD54L	Rad54l
FOLH1	FOLH1	Folh1
MAMDC4	None	Mamdc4
GUCY1A2	GUCY1A2	Gucy1a2
DLGAP5	DLGAP5	Dlgap5
ABCD2	ABCD2	Abcd2
PROM2	PROM2	Prom2
ZNF235	ZNF235	Zfp235
PAK7	None	Pak7
GFM2	GFM2	Gfm2
UTP14A	UTP14A	Utp14a
FBXO42	FBXO42	Fbxo42
KIAA1958	KIAA1958	None
GLIS3	GLIS3	Glis3
NOP2	NOP2	Nop2
SPIRE1	None	Spire1
RFWD2	None	Rfwd2
DPY19L4	DPY19L4	Dpy19l4
TRMT1L	TRMT1L	Trmt1l
POMT2	POMT2	Pomt2
RXFP2	RXFP2	Rxfp2
PIK3R1	PIK3R1	Pik3r1
GOLGA1	GOLGA1	Golga1
ZNF483	ZNF483	Zkscan16
LAS1L	LAS1L	Las1l
SFPQ	SFPQ	Sfpq
DVL2	DVL2	Dvl2
SEMA4A	SEMA4A	Sema4a
ASUN	ASUN	Asun
TMC6	TMC6	Tmc6
STAT4	STAT4	Stat4
None	None	None
PAMR1	PAMR1	Pamr1
PDZD7	None	Pdzd7
SHROOM1	SHROOM1	Shroom1
GIT2	GIT2	Git2
GPD2	GPD2	Gpd2
LRFN1	LRFN1	Lrfn1
SLC9A3	SLC9A3	Slc9a3
RNPEPL1	RNPEPL1	Rnpepl1
TAF1C	TAF1C	Taf1c
PCDHB4	PCDHB4	Pcdhb5
TAS1R3	TAS1R3	Tas1r3
SKI	SKI	Ski
BACH1	BACH1	Bach1
BARD1	BARD1	Bard1
LRCH1	LRCH1	Lrch1
ACAP1	ACAP1	Acap1
RPS6KA6	RPS6KA6	Rps6ka6
SLC39A6	SLC39A6	Slc39a6
DNAAF2	DNAAF2	Dnaaf2
KLHL4	KLHL4	Klhl4
PPP1R12C	PPP1R12C	Ppp1r12c
BRD3	BRD3	Brd3
GRAMD1B	GRAMD1B	Gramd1b
CCNT2	CCNT2	Ccnt2
JPH3	JPH3	Jph3
ADARB2	ADARB2	Adarb2
SEMA3B	SEMA3B	Sema3b
ACSL4	ACSL4	Acsl4
RIN1	RIN1	Rin1
EXT2	EXT2	Ext2
PCDHGA10	None	Pcdhga10
YTHDC1	YTHDC1	Ythdc1
DCLK1	DCLK1	Dclk1
PCIF1	PCIF1	Pcif1
HTATSF1	HTATSF1	Htatsf1
PLA2G4B	PLA2G4B	Pla2g4b
None	None	2610020H08Rik
FAM129B	FAM129B	Fam129b
CCHCR1	CCHCR1	Cchcr1
ZFYVE28	ZFYVE28	Zfyve28
NASP	NASP	Nasp
DPP3	DPP3	Dpp3
DDX4	DDX4	Ddx4
CCNT1	CCNT1	Ccnt1
INTS10	INTS10	Ints10
RNF19B	RNF19B	Rnf19b
SEC14L1	SEC14L1	Sec14l1
RFX4	RFX4	Rfx4
P3H1	LEPRE1	P3h1
HNRNPUL2	HNRNPUL2	Hnrnpul2
HOOK1	HOOK1	Hook1
DPY19L3	DPY19L3	Dpy19l3
CTNNAL1	CTNNAL1	Ctnnal1
RFX2	RFX2	Rfx2
ARHGAP24	ARHGAP24	Arhgap24
FBXO30	FBXO30	Fbxo30
MARK3	MARK3	Mark3
HOOK3	HOOK3	Hook3
LRRN1	LRRN1	Lrrn1
RFWD3	RFWD3	Rfwd3
TATDN2	TATDN2	Tatdn2
EXOC5	EXOC5	Exoc5
PLOD3	PLOD3	Plod3
HIC1	HIC1	Hic1
PDXDC1	PDXDC1	Pdxdc1
XPR1	XPR1	Xpr1
MFN1	MFN1	Mfn1
GARS	GARS	Gars
PIBF1	PIBF1	Pibf1
CARS	None	Cars
TMTC4	TMTC4	Tmtc4
ACAD11	ACAD11	Acad11
PREP	PREP	Prep
PRKCG	PRKCG	Prkcg
RTF1	RTF1	Rtf1
PCDHB5	PCDHB5	Pcdhb8
SLC9A7	SLC9A7	Slc9a7
NAGLU	NAGLU	Naglu
TAB2	TAB2	Tab2
ALOXE3	ALOXE3	Aloxe3
DHX32	DHX32	Dhx32
CCPG1	CCPG1	Ccpg1
HHIP	HHIP	Hhip
DTL	DTL	Dtl
EPB41	EPB41	Epb4.1
PCDHA13	None	Pcdha12
MAP6	MAP6	Map6
LRRFIP1	LRRFIP1	Lrrfip1
LRFN5	LRFN5	Lrfn5
PCDHA4	None	Pcdha4
ACSL3	ACSL3	Acsl3
TRIM56	TRIM56	Trim56
PKP2	PKP2	Pkp2
ZNF615	ZNF615	Gm7072
TARS	None	Tars
GFM1	GFM1	Gfm1
SARM1	SARM1	Sarm1
FOXK1	FOXK1	Foxk1
None	None	Gm29776
BAP1	BAP1	Bap1
ZNF569	ZNF569	Zfp74
TRIM42	TRIM42	Trim42
BRSK2	BRSK2	Brsk2
ZNF420	ZNF420	Zfp420
IL1RAPL1	IL1RAPL1	Il1rapl1
MED25	MED25	Med25
PCDHA2	None	Pcdha2
HGS	HGS	Hgs
LONRF2	LONRF2	Lonrf2
ABCD1	ABCD1	Abcd1
SLFN13	SLFN13	Slfn9
PCDHA5	None	Pcdha5
LRRC36	LRRC36	Lrrc36
HUNK	HUNK	Hunk
COG2	COG2	Cog2
MTA1	MTA1	Mta1
TMEM168	TMEM168	Tmem168
PLEKHG6	PLEKHG6	Plekhg6
SIRT1	SIRT1	Sirt1
TRIM36	TRIM36	Trim36
CDH16	CDH16	Cdh16
FAM35A	None	Fam35a
LRIF1	LRIF1	Lrif1
LRRC4B	LRRC4B	Lrrc4b
OSBPL11	OSBPL11	Osbpl11
RBAK	RBAK	Rbak
HPS6	HPS6	Hps6
ZDHHC8	ZDHHC8	Zdhhc8
GCFC2	GCFC2	Gcfc2
TMPRSS7	TMPRSS7	Tmprss7
ADAM29	ADAM29	Adam29
GGNBP2	GGNBP2	Ggnbp2
SYN1	SYN1	Syn1
TBC1D12	TBC1D12	Tbc1d12
TP63	TP63	Trp63
ZNF12	ZNF12	Zfp12
SLC45A4	SLC45A4	Slc45a4
GNL2	GNL2	Gnl2
KIAA1841	KIAA1841	None
CAPN2	CAPN2	Capn2
MZF1	MZF1	Mzf1
ADRBK1	ADRBK1	Adrbk1
FYB	None	Fyb
KIF2A	KIF2A	Kif2a
TBX2	TBX2	Tbx2
KIF2C	KIF2C	Kif2c
PIK3R2	PIK3R2	Pik3r2
BMPER	BMPER	Bmper
DTHD1	DTHD1	Dthd1
PLA2G4D	PLA2G4D	Pla2g4d
LMBRD2	LMBRD2	Lmbrd2
EXOC7	EXOC7	Exoc7
ZNF280C	ZNF280C	Zfp280c
SESTD1	SESTD1	Sestd1
SAMD4A	SAMD4A	Samd4
RPS6KA1	RPS6KA1	Rps6ka1
RAP1GAP2	RAP1GAP2	Rap1gap2
ZNF560	ZNF560	None
PLA2G6	PLA2G6	Pla2g6
PCDHB6	PCDHB6	Pcdhb13
CAPN1	CAPN1	Capn1
LRSAM1	LRSAM1	Lrsam1
SOWAHB	SOWAHB	Sowahb
DLL4	DLL4	Dll4
AFAP1	AFAP1	Afap1
None	None	None
FASTKD1	FASTKD1	Fastkd1
MCM7	MCM7	Mcm7
AKNAD1	AKNAD1	Aknad1
PNN	PNN	Pnn
SLC15A2	SLC15A2	Slc15a2
LRRN2	LRRN2	Lrrn2
TBR1	TBR1	Tbr1
PPEF2	PPEF2	Ppef2
SLC6A15	SLC6A15	Slc6a15
F13A1	F13A1	F13a1
FZD8	FZD8	Fzd8
PLK2	PLK2	Plk2
NCAPH	NCAPH	Ncaph
CPXM1	CPXM1	Cpxm1
LNX1	LNX1	Lnx1
ABLIM1	ABLIM1	Ablim1
FZD6	FZD6	Fzd6
EEF2K	EEF2K	Eef2k
GRAMD1A	GRAMD1A	Gramd1a
EPB41L5	EPB41L5	Epb4.1l5
EIF2B5	EIF2B5	Eif2b5
NUP88	NUP88	Nup88
RTN1	RTN1	Rtn1
None	RAPGEF5	Rapgef5
PTPRE	PTPRE	Ptpre
DISC1	DISC1	Disc1
ZNF33A	ZNF33A	None
MEP1A	MEP1A	Mep1a
DNTTIP2	DNTTIP2	Dnttip2
DGKA	DGKA	Dgka
PCDHA6	None	Pcdha6
ZSCAN10	ZSCAN10	Zscan10
ABLIM3	ABLIM3	Ablim3
ZYG11A	ZYG11A	Zyg11a
PCDHGA2	None	Pcdhga2
KIF3A	KIF3A	Kif3a
P3H3	None	P3h3
G2E3	G2E3	G2e3
ISLR2	ISLR2	Islr2
SLCO1C1	SLCO1C1	Slco1c1
USP51	USP51	Usp51
CPEB3	CPEB3	Cpeb3
POLR3E	POLR3E	Polr3e
SCIN	SCIN	Scin
ZBED1	None	None
DZANK1	DZANK1	Dzank1
SLC4A1AP	SLC4A1AP	Slc4a1ap
POMT1	POMT1	Pomt1
PCDHB15	PCDHB15	Pcdhb22
SAMD4B	SAMD4B	Samd4b
ATXN7L2	ATXN7L2	Atxn7l2
NUFIP2	NUFIP2	Nufip2
RASGRP3	RASGRP3	Rasgrp3
NHLRC2	NHLRC2	Nhlrc2
KIAA1161	KIAA1161	None
AOC1	None	Aoc1
VPS52	VPS52	Vps52
FBLN1	FBLN1	Fbln1
CASS4	CASS4	Cass4
TMEM8A	TMEM8A	Tmem8
ATG7	ATG7	Atg7
OLFML2B	OLFML2B	Olfml2b
SGSM3	SGSM3	Sgsm3
TELO2	TELO2	Telo2
LRRFIP2	LRRFIP2	None
LPO	LPO	Lpo
ACSS2	ACSS2	Acss2
CPSF3	CPSF3	Cpsf3
GZF1	GZF1	Gzf1
PCDHA3	None	Pcdha3
SENP5	SENP5	Senp5
BCL6	BCL6	Bcl6
NUTM2A	None	Nutm2
ZBTB39	ZBTB39	Zbtb39
RPH3A	RPH3A	Rph3a
RNF219	RNF219	Rnf219
SSRP1	SSRP1	Ssrp1
FBXL19	FBXL19	Fbxl19
EMILIN3	EMILIN3	Emilin3
ALOX12B	ALOX12B	Alox12b
DZIP1L	DZIP1L	Dzip1l
MARCH7	None	March7
C10orf76	None	None
LPPR3	None	Lppr3
PCDHGA12	None	Pcdhga12
PCDHAC1	None	Pcdhac1
MCPH1	MCPH1	Mcph1
FAM160B2	FAM160B2	Fam160b2
TMC7	TMC7	Tmc7
WDTC1	WDTC1	Wdtc1
APEH	APEH	Apeh
ZKSCAN7	ZKSCAN7	Zkscan7
TMCC2	TMCC2	Tmcc2
MST1	MST1	Mst1
PKP3	PKP3	Pkp3
APPL1	APPL1	Appl1
CDH13	CDH13	Cdh13
PRKCH	PRKCH	Prkch
CPT1A	CPT1A	Cpt1a
RRP1B	RRP1B	Rrp1b
HSD17B4	HSD17B4	Hsd17b4
MPO	MPO	Mpo
DDHD2	DDHD2	Ddhd2
RPS6KA2	RPS6KA2	Rps6ka2
PATZ1	PATZ1	Patz1
TRPV5	TRPV5	Trpv5
PCDHB7	PCDHB7	Pcdhb15
PCCA	PCCA	Pcca
EFHC2	EFHC2	Efhc2
TMEM260	None	Tmem260
SLC44A5	SLC44A5	Slc44a5
THOC5	THOC5	Thoc5
SLC26A2	SLC26A2	Slc26a2
LARP4	LARP4	Larp4
FOXM1	FOXM1	Foxm1
E4F1	E4F1	E4f1
ADD1	ADD1	Add1
NLN	NLN	Nln
DHX35	DHX35	Dhx35
PARP12	PARP12	Parp12
ELMO3	ELMO3	Elmo3
NAALAD2	NAALAD2	Naalad2
TMPRSS6	TMPRSS6	Tmprss6
C9orf3	None	None
ANKRD30A	ANKRD30A	None
RPGR	RPGR	Rpgr
RNF103	RNF103	Rnf103
BBS2	BBS2	Bbs2
FAM188B	None	Fam188b
NOL10	NOL10	Nol10
DRC1	None	Drc1
KBTBD7	KBTBD7	Kbtbd7
ADD3	ADD3	Add3
ZC3H3	ZC3H3	Zc3h3
MAD1L1	MAD1L1	Mad1l1
SLC6A9	SLC6A9	Slc6a9
QSOX1	QSOX1	Qsox1
IL4R	IL4R	Il4ra
APBB1	APBB1	Apbb1
ZNF219	ZNF219	Zfp219
ZBTB24	ZBTB24	Zbtb24
ADARB1	ADARB1	Adarb1
MAMDC2	MAMDC2	Mamdc2
ZNF770	ZNF770	Zfp770
CNOT3	CNOT3	Cnot3
FBXO40	FBXO40	Fbxo40
XRRA1	XRRA1	Xrra1
ANO9	ANO9	Ano9
MID1	MID1	Mid1
PLOD2	PLOD2	Plod2
MCCC1	MCCC1	Mccc1
MIPEP	MIPEP	Mipep
BANK1	BANK1	Bank1
HLCS	HLCS	Hlcs
DHX33	DHX33	Dhx33
PAPOLG	PAPOLG	Papolg
FASTKD5	FASTKD5	Fastkd5
FERMT2	FERMT2	Fermt2
IKBKE	IKBKE	Ikbke
LRRC49	LRRC49	Lrrc49
STIM1	STIM1	Stim1
ZDHHC5	ZDHHC5	Zdhhc5
ZBTB5	ZBTB5	Zbtb5
PRKCA	PRKCA	Prkca
PCDHB10	PCDHB10	Pcdhb18
SRPK2	SRPK2	Srpk2
SPIRE2	SPIRE2	Spire2
NBN	NBN	Nbn
DVL1	DVL1	Dvl1
SLCO3A1	SLCO3A1	Slco3a1
MICAL2	None	Mical2
P3H2	LEPREL1	P3h2
GYS2	GYS2	Gys2
HHIPL2	HHIPL2	Hhipl2
CCDC79	None	Ccdc79
ZNF700	ZNF700	None
PIK3R6	PIK3R6	Pik3r6
PCDHGA3	None	Pcdhga3
CD44	CD44	Cd44
GFPT1	GFPT1	Gfpt1
SYDE1	SYDE1	Syde1
GUCY1A3	GUCY1A3	Gucy1a3
ADAM7	ADAM7	Adam7
CENPI	CENPI	Cenpi
MRE11A	None	Mre11a
RNF214	RNF214	Rnf214
GPRIN3	GPRIN3	Gprin3
ADAM8	ADAM8	Adam8
NRG3	NRG3	Nrg3
PRPF39	PRPF39	Prpf39
POU6F2	POU6F2	Pou6f2
ACSBG1	ACSBG1	Acsbg1
ADAM30	ADAM30	Adam30
FBXL17	FBXL17	Fbxl17
SP140	SP140	None
TBC1D14	TBC1D14	Tbc1d14
LRP10	LRP10	Lrp10
PHF21A	PHF21A	Phf21a
TBC1D15	TBC1D15	Tbc1d15
TGM2	TGM2	Tgm2
ENGASE	ENGASE	Engase
BBS7	BBS7	Bbs7
ESRP2	ESRP2	Esrp2
ZBTB16	ZBTB16	Zbtb16
TTLL8	None	Ttll8
IFIH1	None	Ifih1
FZD3	FZD3	Fzd3
ADAM21	ADAM21	Adam21
GMPS	GMPS	Gmps
ACSL6	None	Acsl6
NOX5	NOX5	None
DENND1C	DENND1C	Dennd1c
L1TD1	L1TD1	L1td1
UBC	None	Ubc
PRPF3	PRPF3	Prpf3
SUN1	SUN1	Sun1
NCL	NCL	Ncl
PCDHGA5	None	Pcdhga5
TFRC	TFRC	Tfrc
METTL13	None	Mettl13
BTK	BTK	Btk
ASPH	ASPH	Asph
PCDHA1	None	Pcdha1
DCBLD1	DCBLD1	Dcbld1
PCDHA7	None	Pcdha7
SLC44A2	SLC44A2	Slc44a2
TPX2	TPX2	Tpx2
ESRP1	ESRP1	Esrp1
TRAF7	TRAF7	Traf7
ANKRD35	None	Ankrd35
FSD2	FSD2	Fsd2
SETDB2	SETDB2	Setdb2
RAB11FIP3	RAB11FIP3	None
CEP83	None	Cep83
ZNF263	ZNF263	Zfp263
GOLGA5	GOLGA5	Golga5
ORC3	ORC3	Orc3
SH3RF2	SH3RF2	Sh3rf2
TARS2	TARS2	Tars2
BOP1	BOP1	Bop1
MTMR11	MTMR11	Mtmr11
FBXL5	FBXL5	Fbxl5
TRPV2	TRPV2	Trpv2
GPR149	GPR149	Gpr149
MYBL2	MYBL2	Mybl2
SLC25A12	SLC25A12	Slc25a12
TSGA10	TSGA10	Tsga10
HDX	HDX	Hdx
FOXP4	FOXP4	Foxp4
ANKRD18B	None	None
FNDC7	FNDC7	Fndc7
PLEKHG4	None	Plekhg4
PCDHGA4	None	Pcdhga4
TCF4	TCF4	Tcf4
TCF12	TCF12	Tcf12
MMP2	MMP2	Mmp2
KCNQ4	KCNQ4	Kcnq4
RHOBTB1	RHOBTB1	Rhobtb1
SMYD4	None	Smyd4
KIF9	KIF9	Kif9
TCHHL1	TCHHL1	Tchhl1
SYTL5	SYTL5	Sytl5
PCDHGA7	None	Pcdhga7
RASAL1	RASAL1	Rasal1
ARHGAP9	ARHGAP9	Arhgap9
DNAJC14	DNAJC14	Dnajc14
GSG2	None	Gsg2
ZNF175	ZNF175	None
CXXC1	CXXC1	Cxxc1
ANKRD62	None	None
COL8A2	COL8A2	Col8a2
SIX5	SIX5	Six5
PTPDC1	PTPDC1	Ptpdc1
ADGRE2	None	None
C2CD2L	C2CD2L	C2cd2l
AK7	AK7	Ak7
ZNF786	ZNF786	Zfp786
SCML2	SCML2	Scml2
CDHR5	CDHR5	Cdhr5
HOOK2	HOOK2	Hook2
ZNF709	ZNF709	Zfp872
POR	POR	Por
PCDHA11	None	Pcdha11
TMEM57	TMEM57	Tmem57
ZNF800	ZNF800	Zfp800
FBXO34	FBXO34	Fbxo34
LSS	LSS	Lss
ABCB6	None	Abcb6
PRKCB	PRKCB	Prkcb
PARP9	PARP9	Parp9
USP49	USP49	Usp49
ZNF607	ZNF607	None
TIPARP	TIPARP	Tiparp
STRBP	STRBP	Strbp
PRDM13	PRDM13	Prdm13
GAB1	GAB1	Gab1
SCYL3	SCYL3	Scyl3
CAPN9	CAPN9	Capn9
