human	macaque	mouse
DCR1A_HUMAN	F6TV24_MACMU	DCR1A_MOUSE
NRP1_HUMAN	F7HHM6_MACMU	NRP1_MOUSE
S31E1_HUMAN	F6YQJ3_MACMU	NRP1_MOUSE
SKOR1_HUMAN	F7F814_MACMU	SKOR1_MOUSE
PKHG5_HUMAN	F6U0H1_MACMU	PKHG5_MOUSE
CDKL5_HUMAN	A0A1D5RJM3_MACMU	CDKL5_MOUSE
PACS1_HUMAN	A0A1D5R6F6_MACMU	PACS1_MOUSE
DSG3_HUMAN	F7GWF7_MACMU	DSG3_MOUSE
CTSRB_HUMAN	F6S6F1_MACMU	CTSRB_MOUSE
FIG4_HUMAN	G7MQX2_MACMU	FIG4_MOUSE
PRP6_HUMAN	F6Q8L4_MACMU	PRP6_MOUSE
ZCH18_HUMAN	F7D596_MACMU	ZCH18_MOUSE
EDEM3_HUMAN	F7GT33_MACMU	EDEM3_MOUSE
WDR3_HUMAN	F6WR92_MACMU	WDR3_MOUSE
RBM44_HUMAN	F7DMA9_MACMU	RBM44_MOUSE
CCD80_HUMAN	F6V848_MACMU	CCD80_MOUSE
AUXI_HUMAN	A0A5F7ZAU4_MACMU	AUXI_MOUSE
NFXL1_HUMAN	F7DEJ1_MACMU	E9Q8I7_MOUSE
LRP8_HUMAN	F6SDB7_MACMU	LRP8_MOUSE
SYP2L_HUMAN	F7F2D7_MACMU	SYP2L_MOUSE
DNM3A_HUMAN	F6QRP0_MACMU	DNM3A_MOUSE
FAN1_HUMAN	F6X900_MACMU	FAN1_MOUSE
RAIN_HUMAN	F7HJH1_MACMU	RAIN_MOUSE
NMD3B_HUMAN	A0A1D5QRR0_MACMU	NMD3B_MOUSE
KDM7A_HUMAN	A0A5F8AB27_MACMU	KDM7A_MOUSE
LONM_HUMAN	F6PU38_MACMU	LONM_MOUSE
AJM1_HUMAN	F7AJL4_MACMU	AJM1_MOUSE
IQCH_HUMAN	F7GNH6_MACMU	IQCH_MOUSE
MARH6_HUMAN	F6ZPG0_MACMU	MARH6_MOUSE
NUTM1_HUMAN	F7H2H3_MACMU	NUTM1_MOUSE
NUTM1_HUMAN	F7GIC0_MACMU	E9Q0B5_MOUSE
PP4R1_HUMAN	A0A5F8A3X9_MACMU	PP4R1_MOUSE
SIK2_HUMAN	A0A5F7ZBJ6_MACMU	SIK2_MOUSE
STOX2_HUMAN	F7CJI1_MACMU	STOX2_MOUSE
TCAF1_HUMAN	A0A1D5QMI5_MACMU	TCAF1_MOUSE
IF4G2_HUMAN	F6XWN2_MACMU	IF4G2_MOUSE
AT2C1_HUMAN	F7DC42_MACMU	AT2C1_MOUSE
COPB2_HUMAN	H9EP74_MACMU	COPB2_MOUSE
LGR6_HUMAN	F6TE88_MACMU	LGR6_MOUSE
ZN507_HUMAN	A0A5F7Z936_MACMU	ZN507_MOUSE
DDR1_HUMAN	F7BW77_MACMU	DDR1_MOUSE
GRIA3_HUMAN	A0A5F7ZAW6_MACMU	GRIA3_MOUSE
ZN836_HUMAN	A0A1D5QC17_MACMU	GRIA3_MOUSE
PDE11_HUMAN	A0A5F7ZXT7_MACMU	PDE11_MOUSE
C1TM_HUMAN	F7G8N5_MACMU	C1TM_MOUSE
RFX6_HUMAN	F7HIL9_MACMU	RFX6_MOUSE
PCD20_HUMAN	A0A5F7ZB24_MACMU	PCD20_MOUSE
TF3C2_HUMAN	F7B990_MACMU	TF3C2_MOUSE
S11IP_HUMAN	A0A1D5QWS1_MACMU	S11IP_MOUSE
EXOC2_HUMAN	H9ES04_MACMU	EXOC2_MOUSE
CNNM1_HUMAN	A0A5F7Z9S3_MACMU	CNNM1_MOUSE
MYPT2_HUMAN	F6QPD9_MACMU	MYPT2_MOUSE
PSMD2_HUMAN	F6R1X3_MACMU	PSMD2_MOUSE
HXK2_HUMAN	A0A5F8A8Z5_MACMU	HXK2_MOUSE
GRIA4_HUMAN	A0A5F8A4A5_MACMU	GRIA4_MOUSE
DSG1_HUMAN	A0A1D5QYQ0_MACMU	DSG1A_MOUSE
DUSTY_HUMAN	A0A5F7ZQ44_MACMU	DUSTY_MOUSE
WWP1_HUMAN	F7HIU5_MACMU	WWP1_MOUSE
M4K3_HUMAN	H9EU76_MACMU	M4K3_MOUSE
ZN574_HUMAN	G7NLK9_MACMU	ZN574_MOUSE
SND1_HUMAN	G7MMA3_MACMU	SND1_MOUSE
MEIOC_HUMAN	F6TL61_MACMU	MEIOC_MOUSE
SYCP1_HUMAN	F6UAT5_MACMU	SYCP1_MOUSE
SMCR8_HUMAN	A0A5F8A7W1_MACMU	SMCR8_MOUSE
GTD2B_HUMAN	H9H3X1_MACMU	GT2D2_MOUSE
NU107_HUMAN	F6PUD9_MACMU	NU107_MOUSE
PAXB1_HUMAN	F7DLV0_MACMU	PAXB1_MOUSE
DPP8_HUMAN	F6QBR2_MACMU	DPP8_MOUSE
ARVC_HUMAN	F7H0U5_MACMU	ARVC_MOUSE
SAFB1_HUMAN	A0A1D5QFS4_MACMU	SAFB1_MOUSE
NFH_HUMAN	A0A5F7ZGF5_MACMU	NFH_MOUSE
WDR36_HUMAN	A0A1D5QYT3_MACMU	Q3TAQ9_MOUSE
ZMIZ2_HUMAN	F7H4X2_MACMU	ZMIZ2_MOUSE
URGCP_HUMAN	A0A1D5Q6P6_MACMU	URGCP_MOUSE
KPCD3_HUMAN	A0A1D5QG47_MACMU	KPCD3_MOUSE
SCUB2_HUMAN	A0A1D5REG4_MACMU	SCUB2_MOUSE
ROBO4_HUMAN	F7ECV8_MACMU	ROBO4_MOUSE
ACTN1_HUMAN	A0A1D5QE04_MACMU	ACTN1_MOUSE
MCM2_HUMAN	F7HLV9_MACMU	MCM2_MOUSE
NAC2_HUMAN	F7GBU5_MACMU	NAC2_MOUSE
KPCD1_HUMAN	F6Y9I6_MACMU	KPCD1_MOUSE
ZNRF3_HUMAN	F7HTI9_MACMU	ZNRF3_MOUSE
UBP20_HUMAN	H9YY82_MACMU	UBP20_MOUSE
PTPR2_HUMAN	F6UWH5_MACMU	PTPR2_MOUSE
SOGA3_HUMAN	F7BRJ0_MACMU	SOGA3_MOUSE
AL1L2_HUMAN	F6W9P8_MACMU	AL1L2_MOUSE
INTU_HUMAN	F6VUX3_MACMU	INTU_MOUSE
GMIP_HUMAN	F6VM79_MACMU	GMIP_MOUSE
SF3B2_HUMAN	G7NC70_MACMU	Q3UJB0_MOUSE
GRM8_HUMAN	F6VUY3_MACMU	GRM8_MOUSE
BC11B_HUMAN	A0A5F8ASB7_MACMU	BC11B_MOUSE
HCN1_HUMAN	F6TMK4_MACMU	HCN1_MOUSE
SSH1_HUMAN	F6UVG3_MACMU	SSH1_MOUSE
TMC5_HUMAN	F6XK21_MACMU	TMC5_MOUSE
SRRM1_HUMAN	F7FWH8_MACMU	SRRM1_MOUSE
RPGF1_HUMAN	A0A5F8A306_MACMU	Q3UHC1_MOUSE
BAIP3_HUMAN	A0A5F8A306_MACMU	BAIP3_MOUSE
CADH4_HUMAN	F7DGM2_MACMU	CADH4_MOUSE
ANO6_HUMAN	A0A5F8A0Z8_MACMU	ANO6_MOUSE
PWP2_HUMAN	A0A1D5Q7C6_MACMU	PWP2_MOUSE
VWCE_HUMAN	F7HPZ4_MACMU	VWCE_MOUSE
NFAC1_HUMAN	A0A5F8ATU2_MACMU	NFAC1_MOUSE
CBPC3_HUMAN	F7H4K8_MACMU	CBPC3_MOUSE
CC146_HUMAN	F7HJU8_MACMU	E9Q9F7_MOUSE
CAR14_HUMAN	A0A5F8AR75_MACMU	CAR14_MOUSE
ATS5_HUMAN	F6Z3S6_MACMU	ATS5_MOUSE
HKDC1_HUMAN	F7HAC6_MACMU	HKDC1_MOUSE
INT6_HUMAN	H9FSW0_MACMU	INT6_MOUSE
CBL_HUMAN	A0A1D5RFE7_MACMU	CBL_MOUSE
AL2CL_HUMAN	F7HRI9_MACMU	AL2CL_MOUSE
RIN3_HUMAN	A0A5F7ZDD7_MACMU	RIN3_MOUSE
PTHD1_HUMAN	F6QM37_MACMU	PTHD1_MOUSE
CR2_HUMAN	F7GSR2_MACMU	CR2_MOUSE
CHRD_HUMAN	F6QC94_MACMU	CHRD_MOUSE
GCP3_HUMAN	H9ESZ9_MACMU	GCP3_MOUSE
GBA2_HUMAN	G7NFD0_MACMU	GBA2_MOUSE
CADH2_HUMAN	F6WI86_MACMU	CADH2_MOUSE
ZN268_HUMAN	A0A5F8A2N4_MACMU	CADH2_MOUSE
PCDGL_HUMAN	A0A5F8A2N4_MACMU	Q91XX0_MOUSE
ESPNL_HUMAN	F6X1I3_MACMU	ESPNL_MOUSE
STOX1_HUMAN	F7F7U9_MACMU	STOX1_MOUSE
OCRL_HUMAN	F7EWX0_MACMU	OCRL_MOUSE
SE6L2_HUMAN	H9FSV3_MACMU	SE6L2_MOUSE
TAF3_HUMAN	F6X0V0_MACMU	TAF3_MOUSE
UBP33_HUMAN	F7HF92_MACMU	UBP33_MOUSE
ZKSC2_HUMAN	F7BNI9_MACMU	G3X952_MOUSE
ITIH2_HUMAN	F7DD08_MACMU	ITIH2_MOUSE
EVC_HUMAN	F7HNC6_MACMU	EVC_MOUSE
UN45B_HUMAN	F7HI70_MACMU	UN45B_MOUSE
SFSWA_HUMAN	A0A5F8ADH5_MACMU	SFSWA_MOUSE
ACTN2_HUMAN	F6VRJ5_MACMU	ACTN2_MOUSE
OTU7A_HUMAN	F6TBS3_MACMU	OTU7A_MOUSE
PDE8B_HUMAN	A0A1D5QWH4_MACMU	PDE8B_MOUSE
DPOD1_HUMAN	A0A5F7ZSP4_MACMU	DPOD1_MOUSE
OSMR_HUMAN	A0A5F8A1A3_MACMU	OSMR_MOUSE
FOG1_HUMAN	A0A5F8A5Z2_MACMU	FOG1_MOUSE
UN45A_HUMAN	H9H320_MACMU	UN45A_MOUSE
RHGBA_HUMAN	F7DRV5_MACMU	RHGBA_MOUSE
NEK10_HUMAN	F7DRV5_MACMU	NEK10_MOUSE
NBR1_HUMAN	A0A1D5Q8M8_MACMU	NBR1_MOUSE
VAV2_HUMAN	I2CU78_MACMU	VAV2_MOUSE
PMFBP_HUMAN	F6Z0D0_MACMU	PMFBP_MOUSE
AT2A3_HUMAN	F7HDQ2_MACMU	AT2A3_MOUSE
SYAM_HUMAN	A0A5F8AHU7_MACMU	SYAM_MOUSE
OSBL8_HUMAN	A0A1D5R0T7_MACMU	OSBL8_MOUSE
GRIA1_HUMAN	A0A1D5RJF9_MACMU	GRIA1_MOUSE
PSD4_HUMAN	F7BLC4_MACMU	PSD4_MOUSE
PKN1_HUMAN	A0A1D5R8U8_MACMU	PKN1_MOUSE
CTNA1_HUMAN	F7DN38_MACMU	CTNA1_MOUSE
SMAL1_HUMAN	F7CQX8_MACMU	SMAL1_MOUSE
NPAS3_HUMAN	A0A1D5QHQ3_MACMU	NPAS3_MOUSE
SARDH_HUMAN	F7HGF8_MACMU	SARDH_MOUSE
PK3C3_HUMAN	A0A1D5QE27_MACMU	PK3C3_MOUSE
KCNB2_HUMAN	F6Q7Z0_MACMU	KCNB2_MOUSE
RBM15_HUMAN	F6V5Q1_MACMU	RBM15_MOUSE
MYCD_HUMAN	F6Z5E4_MACMU	MYCD_MOUSE
RPGF3_HUMAN	A0A1D5R7U7_MACMU	RPGF3_MOUSE
IQCN_HUMAN	F7GQ33_MACMU	A0A1D5RMD1_MOUSE
CRCM_HUMAN	F7FRB5_MACMU	E9PWI3_MOUSE
NPAP1_HUMAN	A0A5F8A7M7_MACMU	E9PWI3_MOUSE
ZZZ3_HUMAN	A0A1D5QUG5_MACMU	ZZZ3_MOUSE
MSH4_HUMAN	F6TF84_MACMU	MSH4_MOUSE
AASS_HUMAN	A0A1D5RIJ4_MACMU	AASS_MOUSE
DEN2C_HUMAN	F7H9T8_MACMU	DEN2C_MOUSE
ILF3_HUMAN	F7FLC1_MACMU	ILF3_MOUSE
PIGN_HUMAN	F6WF63_MACMU	PIGN_MOUSE
IL6RB_HUMAN	F7FXB6_MACMU	IL6RB_MOUSE
S26A8_HUMAN	F6V378_MACMU	S26A8_MOUSE
ADA22_HUMAN	F7GSM9_MACMU	ADA22_MOUSE
TDRD5_HUMAN	F7FRH2_MACMU	TDRD5_MOUSE
GRM3_HUMAN	F6YNZ0_MACMU	GRM3_MOUSE
NCOA7_HUMAN	F6ZLP1_MACMU	NCOA7_MOUSE
EXOC1_HUMAN	F7F553_MACMU	EXOC1_MOUSE
CO6_HUMAN	F7HG52_MACMU	E9Q6D8_MOUSE
NOD1_HUMAN	F7E835_MACMU	NOD1_MOUSE
PHF14_HUMAN	F6WS16_MACMU	PHF14_MOUSE
PLD2_HUMAN	A0A5K1UE21_MACMU	PLD2_MOUSE
PAN3_HUMAN	F6Y6Y5_MACMU	PAN3_MOUSE
KANK4_HUMAN	F6R937_MACMU	KANK4_MOUSE
FA13B_HUMAN	F7HLD0_MACMU	FA13B_MOUSE
RIN2_HUMAN	F6T985_MACMU	RIN2_MOUSE
MYO1G_HUMAN	F7DI64_MACMU	MYO1G_MOUSE
GRIA2_HUMAN	A0A5F7Z7T5_MACMU	GRIA2_MOUSE
GRIA2_HUMAN	A0A1D5QND9_MACMU	AOXD_MOUSE
AMPD2_HUMAN	F6VKG7_MACMU	AMPD2_MOUSE
NDST2_HUMAN	G7N251_MACMU	NDST2_MOUSE
STK31_HUMAN	F7EF11_MACMU	STK31_MOUSE
AMPQ_HUMAN	F7CIN8_MACMU	STK31_MOUSE
NLRX1_HUMAN	F7HTM8_MACMU	NLRX1_MOUSE
TRAK2_HUMAN	H9YWM8_MACMU	Q6P9N8_MOUSE
LAR1B_HUMAN	F7DKZ1_MACMU	Q6P9N8_MOUSE
AP180_HUMAN	A0A1D5QK49_MACMU	AP180_MOUSE
NDST3_HUMAN	F7DZJ3_MACMU	NDST3_MOUSE
MYO19_HUMAN	A0A5F7ZMQ5_MACMU	MYO19_MOUSE
ANO5_HUMAN	F7HQS3_MACMU	ANO5_MOUSE
ZN112_HUMAN	F6Q771_MACMU	ZN112_MOUSE
DGKZ_HUMAN	A0A1D5R745_MACMU	DGKZ_MOUSE
VPS39_HUMAN	F7GE10_MACMU	VPS39_MOUSE
NAC3_HUMAN	A0A5F7ZQW5_MACMU	NAC3_MOUSE
CTNA3_HUMAN	F7FBX6_MACMU	CTNA3_MOUSE
SRRT_HUMAN	G7MNW1_MACMU	SRRT_MOUSE
DDX11_HUMAN	F7GR78_MACMU	DDX11_MOUSE
CCAR2_HUMAN	H9FXT0_MACMU	CCAR2_MOUSE
ADA19_HUMAN	A0A5F7ZRV3_MACMU	ADA19_MOUSE
AGO3_HUMAN	H9Z073_MACMU	AGO3_MOUSE
COPG1_HUMAN	H9FRE4_MACMU	COPG1_MOUSE
SNX19_HUMAN	A0A5F8A1Q4_MACMU	SNX19_MOUSE
HCN2_HUMAN	F7EIQ2_MACMU	HCN2_MOUSE
SL9C1_HUMAN	A0A1D5QWL3_MACMU	SL9C1_MOUSE
TTLL7_HUMAN	F6U559_MACMU	TTLL7_MOUSE
TSP4_HUMAN	A0A1D5Q9V7_MACMU	TSP4_MOUSE
C1TC_HUMAN	A0A1D5QF17_MACMU	C1TC_MOUSE
KLH29_HUMAN	F7FRL0_MACMU	KLH29_MOUSE
AGO1_HUMAN	H9FSW2_MACMU	AGO1_MOUSE
SKDA1_HUMAN	F7H1M0_MACMU	SKDA1_MOUSE
PGAP1_HUMAN	H9EWD8_MACMU	PGAP1_MOUSE
AMPN_HUMAN	F6VKN1_MACMU	AMPN_MOUSE
SNCAP_HUMAN	F7CJA4_MACMU	SNCAP_MOUSE
CDCA2_HUMAN	A0A1D5QH66_MACMU	CDCA2_MOUSE
DLG1_HUMAN	H9ENR9_MACMU	DLG1_MOUSE
PDE5A_HUMAN	F7F6V2_MACMU	PDE5A_MOUSE
CFA69_HUMAN	F7H003_MACMU	CFA69_MOUSE
PDPR_HUMAN	F6RY22_MACMU	PDPR_MOUSE
CCD66_HUMAN	A0A5F7ZWN1_MACMU	CCD66_MOUSE
MAN1_HUMAN	F7CQM6_MACMU	MAN1_MOUSE
KMT5B_HUMAN	F7CK15_MACMU	KMT5B_MOUSE
BRDT_HUMAN	A0A1D5Q1K8_MACMU	BRDT_MOUSE
KANL3_HUMAN	A0A1D5R270_MACMU	KANL3_MOUSE
HXK1_HUMAN	F7HAC4_MACMU	HXK1_MOUSE
CI131_HUMAN	F6WT95_MACMU	CI131_MOUSE
TAOK3_HUMAN	A0A5F7ZDU8_MACMU	TAOK3_MOUSE
ANDR_HUMAN	F7B9Z6_MACMU	ANDR_MOUSE
TMTC3_HUMAN	F6VRM2_MACMU	TMTC3_MOUSE
SRBS2_HUMAN	A0A5F7ZCW2_MACMU	SRBS2_MOUSE
PTHD4_HUMAN	A0A5F7ZZU0_MACMU	PTHD4_MOUSE
CARD6_HUMAN	F7HR61_MACMU	E9PWH2_MOUSE
SEM6C_HUMAN	F7AIQ7_MACMU	SEM6C_MOUSE
GRIK1_HUMAN	F7AGW3_MACMU	GRIK1_MOUSE
AFTIN_HUMAN	A0A5F8AFS8_MACMU	AFTIN_MOUSE
RHG42_HUMAN	G7NBQ3_MACMU	RHG42_MOUSE
LPIN2_HUMAN	A0A5F7ZUW1_MACMU	LPIN2_MOUSE
VLDLR_HUMAN	F6WNN2_MACMU	VLDLR_MOUSE
KCD19_HUMAN	F7C1M2_MACMU	KCD19_MOUSE
MATN2_HUMAN	A0A5F8A1W9_MACMU	MATN2_MOUSE
OVCH1_HUMAN	F7AGI2_MACMU	MATN2_MOUSE
CLCN2_HUMAN	F6QD86_MACMU	CLCN2_MOUSE
C2D2B_HUMAN	F6QD86_MACMU	A0A286YDU8_MOUSE
GANC_HUMAN	F7G954_MACMU	GANC_MOUSE
DNLI4_HUMAN	F7DY21_MACMU	DNLI4_MOUSE
MIO_HUMAN	A0A1D5QIT7_MACMU	MIO_MOUSE
MVP_HUMAN	G7NQI2_MACMU	MVP_MOUSE
ACOC_HUMAN	A0A5F8AQZ5_MACMU	ACOC_MOUSE
PTN3_HUMAN	A0A5F7ZNK1_MACMU	PTN3_MOUSE
TBC30_HUMAN	A0A5F7ZXA8_MACMU	TBC30_MOUSE
DYN1_HUMAN	F6S490_MACMU	DYN1_MOUSE
ITIH5_HUMAN	F7A9P0_MACMU	ITIH5_MOUSE
SULF2_HUMAN	A0A5F8A4A6_MACMU	SULF2_MOUSE
B4GN3_HUMAN	F6R451_MACMU	B4GN3_MOUSE
ICAM5_HUMAN	F6TPB6_MACMU	ICAM5_MOUSE
PMS1_HUMAN	G7N8I0_MACMU	Q8K119_MOUSE
SL9A5_HUMAN	A0A5F8AIS6_MACMU	B2RXE2_MOUSE
SPD2B_HUMAN	F6R7K5_MACMU	SPD2B_MOUSE
ERAP1_HUMAN	A0A1D5Q8U0_MACMU	ERAP1_MOUSE
HAUS6_HUMAN	A0A5F8AMQ7_MACMU	Q6NV99_MOUSE
RHG04_HUMAN	A0A1D5RIQ5_MACMU	B1AUY3_MOUSE
TF3C3_HUMAN	F7F8I5_MACMU	Q3TMP1_MOUSE
DDHD1_HUMAN	A0A5F8ASY3_MACMU	Q3TMP1_MOUSE
AGO2_HUMAN	F7H579_MACMU	AGO2_MOUSE
CP096_HUMAN	F7ADG9_MACMU	CP096_MOUSE
TYRO3_HUMAN	F6T717_MACMU	TYRO3_MOUSE
CO9A1_HUMAN	F7G4H9_MACMU	CO9A1_MOUSE
HMDH_HUMAN	F7HJ02_MACMU	HMDH_MOUSE
PEX6_HUMAN	F7CZN6_MACMU	PEX6_MOUSE
OSBL3_HUMAN	F7CCL8_MACMU	OSBL3_MOUSE
ATS8_HUMAN	F7FFM2_MACMU	ATS8_MOUSE
PRIC2_HUMAN	F7GCX1_MACMU	PRIC2_MOUSE
UBP13_HUMAN	F7EMP5_MACMU	UBP13_MOUSE
DHTK1_HUMAN	A0A5F7ZND3_MACMU	DHTK1_MOUSE
CE104_HUMAN	F6U796_MACMU	CE104_MOUSE
DDIAS_HUMAN	F7CCZ8_MACMU	DDIAS_MOUSE
S12A9_HUMAN	I0FTL1_MACMU	S12A9_MOUSE
F1711_HUMAN	A0A5F8A3C2_MACMU	A2ATK9_MOUSE
SMBP2_HUMAN	A0A5F7ZWQ9_MACMU	SMBP2_MOUSE
THAP9_HUMAN	F6WS43_MACMU	SMBP2_MOUSE
NDST4_HUMAN	F7HFM8_MACMU	NDST4_MOUSE
ZFP62_HUMAN	A0A1D5QCB8_MACMU	ZFP62_MOUSE
PIGG_HUMAN	F7HKG1_MACMU	D3Z3Y1_MOUSE
SMBT2_HUMAN	F6QYE8_MACMU	SMBT2_MOUSE
SOBP_HUMAN	A7XYI9_MACMU	SOBP_MOUSE
N4BP1_HUMAN	F6Y4N0_MACMU	N4BP1_MOUSE
SYTL2_HUMAN	F7FK83_MACMU	SYTL2_MOUSE
WDR44_HUMAN	F7D2J0_MACMU	WDR44_MOUSE
MUSK_HUMAN	F7EWV2_MACMU	MUSK_MOUSE
ECT2_HUMAN	F6WHV5_MACMU	ECT2_MOUSE
HNRL1_HUMAN	A0A5K1VU42_MACMU	HNRL1_MOUSE
CHSS3_HUMAN	F7EL39_MACMU	CHSS3_MOUSE
CSTN1_HUMAN	F7HLC1_MACMU	CSTN1_MOUSE
DYN3_HUMAN	A0A1D5RFC9_MACMU	DYN3_MOUSE
PRSR1_HUMAN	F6UX83_MACMU	PRSR1_MOUSE
TOP3B_HUMAN	H9YZX1_MACMU	TOP3B_MOUSE
RA54B_HUMAN	F6VXV3_MACMU	RA54B_MOUSE
LYAG_HUMAN	F7AD90_MACMU	LYAG_MOUSE
CCD39_HUMAN	A0A1D5QW93_MACMU	CCD39_MOUSE
UBP37_HUMAN	A0A5F8AKD4_MACMU	UBP37_MOUSE
DGKQ_HUMAN	F7HE38_MACMU	DGKQ_MOUSE
LGR5_HUMAN	G7N7N3_MACMU	LGR5_MOUSE
TBCK_HUMAN	F6RZC6_MACMU	TBCK_MOUSE
PAR10_HUMAN	G7N0A2_MACMU	PAR10_MOUSE
KRBA1_HUMAN	F7GZ34_MACMU	KRBA1_MOUSE
GT2D1_HUMAN	A0A5F7ZVU8_MACMU	GT2D1_MOUSE
GRM2_HUMAN	F7H091_MACMU	GRM2_MOUSE
CLCN6_HUMAN	F7CI77_MACMU	CLCN6_MOUSE
ERAP2_HUMAN	A0A1D5QYD9_MACMU	CLCN6_MOUSE
KPCD2_HUMAN	F7ES71_MACMU	KPCD2_MOUSE
TRI37_HUMAN	A0A1D5Q1P7_MACMU	TRI37_MOUSE
PDC6I_HUMAN	H9Z3W8_MACMU	PDC6I_MOUSE
PACS2_HUMAN	F6U6Y3_MACMU	PACS2_MOUSE
SYMC_HUMAN	A0A5F8A455_MACMU	SYMC_MOUSE
PR40B_HUMAN	A0A1D5RAN4_MACMU	PR40B_MOUSE
NFKB2_HUMAN	F7GVV0_MACMU	NFKB2_MOUSE
CIP2A_HUMAN	F6T1A3_MACMU	CIP2A_MOUSE
FPRP_HUMAN	F7CQ58_MACMU	FPRP_MOUSE
XPF_HUMAN	F6RCM9_MACMU	XPF_MOUSE
UFO_HUMAN	A0A1D5Q330_MACMU	UFO_MOUSE
IMB1_HUMAN	F7AQQ3_MACMU	IMB1_MOUSE
EF2_HUMAN	A0A1D5QQX5_MACMU	EF2_MOUSE
KCNB1_HUMAN	F7HS63_MACMU	KCNB1_MOUSE
HECD3_HUMAN	F7HR90_MACMU	HECD3_MOUSE
PRRT3_HUMAN	F7HJU3_MACMU	PRRT3_MOUSE
CWC22_HUMAN	H9FXR9_MACMU	CWC22_MOUSE
VPS41_HUMAN	G7MLG3_MACMU	VPS41_MOUSE
TRPV4_HUMAN	A0A1D5R8Y1_MACMU	TRPV4_MOUSE
AXDN1_HUMAN	F7CP19_MACMU	TRPV4_MOUSE
PP6R3_HUMAN	F7GJX9_MACMU	PP6R3_MOUSE
RADX_HUMAN	F7GQ19_MACMU	RADX_MOUSE
MCF2_HUMAN	A0A1D5Q510_MACMU	Q8BLE2_MOUSE
ITPI1_HUMAN	F7A4R0_MACMU	ITPI1_MOUSE
GPC6A_HUMAN	F6U248_MACMU	GPC6A_MOUSE
FBX41_HUMAN	A0A1D5R6L2_MACMU	FBX41_MOUSE
MRTFA_HUMAN	A0A1D5RFM7_MACMU	MRTFA_MOUSE
NLGN3_HUMAN	G7NRV3_MACMU	NLGN3_MOUSE
AGO4_HUMAN	F7EGT1_MACMU	AGO4_MOUSE
DDR2_HUMAN	A0A1D5Q156_MACMU	DDR2_MOUSE
KI20A_HUMAN	G7MUW1_MACMU	KI20A_MOUSE
ATG9B_HUMAN	A0A5F8AJX2_MACMU	ATG9B_MOUSE
CFA74_HUMAN	A0A5F8AJX2_MACMU	CFA74_MOUSE
WWP2_HUMAN	F7EGU5_MACMU	WWP2_MOUSE
ZHX1_HUMAN	F6WB25_MACMU	ZHX1_MOUSE
WFS1_HUMAN	F6Z3A4_MACMU	WFS1_MOUSE
SH3R1_HUMAN	F7GYZ5_MACMU	SH3R1_MOUSE
TFP11_HUMAN	TFP11_MACMU	TFP11_MOUSE
EPAS1_HUMAN	A0A1D5R1K4_MACMU	EPAS1_MOUSE
KCNQ3_HUMAN	F7DI95_MACMU	KCNQ3_MOUSE
ERMP1_HUMAN	F7G2I9_MACMU	ERMP1_MOUSE
TCAF2_HUMAN	F6S7K5_MACMU	TCAF2_MOUSE
RBM19_HUMAN	A0A5F7ZMJ0_MACMU	RBM19_MOUSE
UNC5A_HUMAN	F7H4X4_MACMU	UNC5A_MOUSE
LRC8D_HUMAN	F6TCH4_MACMU	LRC8D_MOUSE
CORO7_HUMAN	A0A1D5R9U2_MACMU	CORO7_MOUSE
RECQ5_HUMAN	A0A5F8A608_MACMU	RECQ5_MOUSE
NETR_HUMAN	F7DZF6_MACMU	NETR_MOUSE
PDE6A_HUMAN	F6SMY5_MACMU	PDE6A_MOUSE
NAA16_HUMAN	F7A1F8_MACMU	NAA16_MOUSE
PTHB1_HUMAN	F7HDG2_MACMU	PTHB1_MOUSE
DDX58_HUMAN	Q0PXR1_MACMU	DDX58_MOUSE
ZBT10_HUMAN	F6PYI9_MACMU	E9Q8X5_MOUSE
DLG2_HUMAN	F6WZ93_MACMU	DLG2_MOUSE
GARE1_HUMAN	F6VMJ1_MACMU	GARE1_MOUSE
PRGR_HUMAN	F7H4Y4_MACMU	PRGR_MOUSE
RAB44_HUMAN	A0A5F8AP63_MACMU	RAB44_MOUSE
LRP12_HUMAN	F6UY14_MACMU	LRP12_MOUSE
CCSE1_HUMAN	F6VAY1_MACMU	CCSE1_MOUSE
TRPC7_HUMAN	F6YMQ6_MACMU	TRPC7_MOUSE
SEM6B_HUMAN	F7HCV6_MACMU	SEM6B_MOUSE
LIN41_HUMAN	F6SC18_MACMU	LIN41_MOUSE
AT2C2_HUMAN	A0A1D5QU73_MACMU	AT2C2_MOUSE
Z512B_HUMAN	F6Q8P5_MACMU	Q6PHP4_MOUSE
PP4R4_HUMAN	F6V0E4_MACMU	PP4R4_MOUSE
CTF18_HUMAN	F6Q1E8_MACMU	CTF18_MOUSE
SYNPO_HUMAN	F6PL92_MACMU	SYNPO_MOUSE
ZN865_HUMAN	F6PL92_MACMU	ZN865_MOUSE
INP4B_HUMAN	F6SGG6_MACMU	INP4B_MOUSE
NDST1_HUMAN	F6SGG6_MACMU	NDST1_MOUSE
NALP4_HUMAN	F7H800_MACMU	NAL4C_MOUSE
E2F7_HUMAN	F6UEZ1_MACMU	E2F7_MOUSE
LPIN1_HUMAN	A0A5F8AND6_MACMU	LPIN1_MOUSE
ARMC5_HUMAN	A0A1D5R1Z5_MACMU	ARMC5_MOUSE
SMBT1_HUMAN	A0A5F7ZGG9_MACMU	SMBT1_MOUSE
